model,MAE (minutes),RMSE (minutes),R-squared
Mean baseline,93.078125,116.68924074759421,-0.028917972126060842
Random forest regularized,115.65927879137995,147.53227167862138,-0.644724585392737
Random forest,125.19875,167.0371140839664,-1.1083615191532976
Gradient boosting,129.51455694409435,167.41344346764188,-1.1178723657856753
Gradient boosting shallow,129.87387701774318,163.47831605931904,-1.0194794399966458
Random forest absolute error,133.78699999999998,172.89746548821932,-1.2588967415355694
Extra trees,135.57999999999998,184.617292524292,-1.5755137937933021
Gradient boosting absolute error,138.03085942803483,172.77773058299513,-1.2557691637655837
Extra trees absolute error,143.21662500000002,189.72524878722652,-1.7200030246577156
Decision tree absolute error,143.4375,183.03525958131672,-1.5315624424409298
Cause median,150.125,198.74088029391436,-1.984650914569352
